Row ID,Order ID,Order Date,Year ,Month,Day,Day of the Week,Quarter,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Order processing time,,,,
1,CA-2017-152156,08/11/17,2017,August,11,Friday,3,11/11/17,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,92,,,,
2,CA-2017-152156,08/12/17,2017,August,12,Saturday,3,11/12/17,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,92,,,,
3,CA-2017-138688,08/13/17,2017,August,13,Sunday,3,11/13/17,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,92,,,,
4,US-2016-108966,08/14/17,2017,August,14,Monday,3,11/14/17,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,92,,,,
5,US-2016-108966,08/15/17,2017,August,15,Tuesday,3,11/15/17,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,92,,,,
6,CA-2015-115812,08/16/17,2017,August,16,Wednesday,3,11/16/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,92,,,,
7,CA-2015-115812,08/17/17,2017,August,17,Thursday,3,11/17/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,92,,,,
8,CA-2015-115812,08/18/17,2017,August,18,Friday,3,11/18/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,92,,,,
9,CA-2015-115812,08/19/17,2017,August,19,Saturday,3,11/19/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,92,,,,
10,CA-2015-115812,08/20/17,2017,August,20,Sunday,3,11/20/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,92,,,,
11,CA-2015-115812,08/21/17,2017,August,21,Monday,3,11/21/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,92,,,,
12,CA-2015-115812,08/22/17,2017,August,22,Tuesday,3,11/22/17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,92,,,,
13,CA-2018-114412,08/23/17,2017,August,23,Wednesday,3,11/23/17,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,92,,,,
14,CA-2017-161389,08/24/17,2017,August,24,Thursday,3,11/24/17,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,92,,,,
15,US-2016-118983,08/25/17,2017,August,25,Friday,3,11/25/17,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,92,,,,
16,US-2016-118983,08/26/17,2017,August,26,Saturday,3,11/26/17,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,92,,,,
17,CA-2015-105893,08/27/17,2017,August,27,Sunday,3,11/27/17,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,92,,,,
18,CA-2015-167164,08/28/17,2017,August,28,Monday,3,11/28/17,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,92,,,,
19,CA-2015-143336,08/29/17,2017,August,29,Tuesday,3,11/29/17,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,92,,,,
20,CA-2015-143336,08/30/17,2017,August,30,Wednesday,3,11/30/17,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,92,,,,
21,CA-2015-143336,08/31/17,2017,August,31,Thursday,3,12/01/17,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,92,,,,
22,CA-2017-137330,09/01/17,2017,September,1,Friday,3,12/02/17,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,92,,,,
23,CA-2017-137330,09/02/17,2017,September,2,Saturday,3,12/03/17,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,92,,,,
24,US-2018-156909,09/03/17,2017,September,3,Sunday,3,12/04/17,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,92,,,,
25,CA-2016-106320,09/04/17,2017,September,4,Monday,3,12/05/17,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,92,,,,
